Time - Voltage,Pen tracing
0.881,0.409191
0.882,0.439786
0.883,0.490348
0.884,0.508705
0.885,0.518689
0.886,0.500332
0.887,0.60983
0.888,0.617881
0.889,0.681004
0.89,0.736075
0.891,0.732854
0.892,0.814977
0.893,0.782128
0.894,0.861997
0.895,0.79179
0.896,0.882286
0.897,0.813367
0.898,0.923509
0.899,0.964732
0.9,0.930594
0.901,0.979546
0.902,0.962156
0.903,0.985021
0.904,0.954748
0.905,0.960545
0.906,0.908373
0.907,1.00756
0.908,0.967308
0.909,0.918034
0.91,0.964088
0.911,0.906118
0.912,0.89227
0.913,0.874879
0.914,0.832046
0.915,0.897423
0.916,0.875201
0.917,0.855878
0.918,0.899355
0.919,0.788247
0.92,0.809825
0.921,0.775687
0.922,0.773433
0.923,0.702259
0.924,0.657816
0.925,0.69453
0.926,0.663613
0.927,0.612728
0.928,0.591473
0.929,0.496789
0.93,0.492281
0.931,0.462974
0.932,0.497433
0.933,0.446549
0.934,0.39019
0.935,0.434311
0.936,0.326746
0.937,0.324169
0.938,0.259115
0.939,0.290676
0.94,0.217248
0.941,0.282624
0.942,0.25847
0.943,0.256216
0.944,0.268132
0.945,0.25364
0.946,0.232706
0.947,0.239791
0.948,0.235605
0.949,0.241402
0.95,0.251063
0.951,0.273607
0.952,0.353154
0.953,0.348967
0.954,0.38858
0.955,0.383427
0.956,0.410157
0.957,0.37924
0.958,0.408225
0.959,0.405004
0.96,0.413056
0.961,0.488094
0.962,0.462974
0.963,0.48584
0.964,0.517723
0.965,0.549284
0.966,0.604033
0.967,0.683902
0.968,0.654917
0.969,0.755076
0.97,0.746058
0.971,0.844284
0.972,0.7934
0.973,0.86554
0.974,0.858132
0.975,0.912237
0.976,0.92834
0.977,0.956037
0.978,1.02013
0.979,1.02077
0.98,1.00918
0.981,1.0227
0.982,1.09516
0.983,1.10418
0.984,1.10096
0.985,1.08067
0.986,1.13864
0.987,1.12383
0.988,1.16666
0.989,1.09645
0.99,1.16634
0.991,1.09388
0.992,1.11288
0.993,1.08615
0.994,1.06425
0.995,1.138
0.996,1.06392
0.997,1.07004
0.998,1.01046
0.999,1.02013
1,0.981479
1.001,0.968919
1.002,0.931238
1.003,0.941544
1.004,0.950562
1.005,0.957647
1.006,0.872625
1.007,0.884219
1.008,0.833334
1.009,0.839453
1.01,0.789535
1.011,0.700327
