Time - Voltage,Read lab report
1.274,1.14508
1.275,1.10966
1.276,1.10064
1.277,1.0826
1.278,1.10128
1.279,1.06811
1.28,1.07391
1.281,1.03075
1.282,1.0533
1.283,1.07101
1.284,1.07133
1.285,1.05297
1.286,1.11449
1.287,1.09033
1.288,1.08325
1.289,1.12576
1.29,1.0607
1.291,1.0797
1.292,1.00177
1.293,1.06779
1.294,1.05104
1.295,1.08003
1.296,1.10064
1.297,1.10321
1.298,1.12866
1.299,1.07552
1.3,1.09838
1.301,1.12608
1.302,1.13413
1.303,1.2037
1.304,1.30836
1.305,1.27519
1.306,1.30611
1.307,1.30353
1.308,1.36118
1.309,1.26005
1.31,1.36472
1.311,1.39467
1.312,1.41947
1.313,1.43461
1.314,1.44008
1.315,1.45522
1.316,1.44846
1.317,1.44395
1.318,1.49258
1.319,1.49097
1.32,1.48388
1.321,1.55312
1.322,1.6053
1.323,1.65876
1.324,1.57889
1.325,1.60723
1.326,1.54153
1.327,1.58597
1.328,1.58629
1.329,1.61077
1.33,1.59821
1.331,1.59338
1.332,1.63074
1.333,1.56117
1.334,1.51673
1.335,1.42688
1.336,1.51319
1.337,1.41013
1.338,1.45747
1.339,1.45361
1.34,1.46713
1.341,1.49805
1.342,1.45554
1.343,1.44137
1.344,1.39177
1.345,1.35796
1.346,1.36537
1.347,1.35764
1.348,1.35409
1.349,1.37825
1.35,1.31094
1.351,1.33574
1.352,1.23332
1.353,1.24782
1.354,1.16891
1.355,1.18759
1.356,1.19146
1.357,1.14798
1.358,1.14089
1.359,1.12383
1.36,1.07906
1.361,1.10418
1.362,1.06006
1.363,1.00434
1.364,1.02721
1.365,0.998225
1.366,1.05909
1.367,1.01562
1.368,1.05297
1.369,0.990818
1.37,1.07552
1.371,1.00016
1.372,1.04428
1.373,1.06296
1.374,1.05362
1.375,1.08486
1.376,1.08969
1.377,1.11803
1.378,1.09065
1.379,1.12479
1.38,1.12672
1.381,1.15184
1.382,1.1322
1.383,1.14734
1.384,1.11867
1.385,1.16827
1.386,1.16312
1.387,1.23977
1.388,1.24138
1.389,1.24202
1.39,1.31255
1.391,1.30675
1.392,1.3776
1.393,1.34508
1.394,1.40594
1.395,1.43525
1.396,1.48807
1.397,1.45168
1.398,1.4842
1.399,1.53155
1.4,1.5061
1.401,1.52092
1.402,1.52382
1.403,1.53155
1.404,1.57019
1.405,1.53348
1.406,1.49676
1.407,1.5251
1.408,1.50256
1.409,1.57502
1.41,1.49805
1.411,1.58179
1.412,1.52414
1.413,1.58694
1.414,1.51673
1.415,1.50063
1.416,1.48163
1.417,1.48034
1.418,1.46746
1.419,1.43235
1.42,1.49515
1.421,1.40401
1.422,1.46391
1.423,1.42913
1.424,1.42849
1.425,1.43944
1.426,1.41979
1.427,1.38823
1.428,1.3995
1.429,1.2797
1.43,1.33896
1.431,1.30901
1.432,1.32285
1.433,1.29741
1.434,1.30933
1.435,1.32157
1.436,1.24009
1.437,1.21239
1.438,1.16022
1.439,1.18308
1.44,1.17761
1.441,1.1863
1.442,1.10032
1.443,1.1264
1.444,1.10354
1.445,1.11835
1.446,1.01916
1.447,1.04106
1.448,1.01594
1.449,1.01304
1.45,1.04106
1.451,1.05201
1.452,1.09613
1.453,1.01723
1.454,1.05587
1.455,0.966986
1.456,1.04492
1.457,1.00595
1.458,1.08228
1.459,1.07069
1.46,1.11288
1.461,1.1264
1.462,1.11932
1.463,1.07713
1.464,1.0607
1.465,1.11706
1.466,1.09903
1.467,1.12866
1.468,1.11706
1.469,1.23075
1.47,1.18566
1.471,1.21754
1.472,1.17986
1.473,1.23236
1.474,1.23365
1.475,1.3396
1.476,1.31448
1.477,1.38082
1.478,1.40079
1.479,1.45586
1.48,1.42269
1.481,1.43751
1.482,1.41174
1.483,1.49064
1.484,1.51448
1.485,1.50288
1.486,1.55055
1.487,1.53573
1.488,1.58823
1.489,1.50546
1.49,1.58984
1.491,1.54088
1.492,1.58114
1.493,1.61496
1.494,1.58984
1.495,1.60626
1.496,1.59306
1.497,1.53927
1.498,1.51029
1.499,1.49515
1.5,1.49709
1.501,1.53122
1.502,1.51222
1.503,1.54088
1.504,1.53155
1.505,1.52382
1.506,1.41335
1.507,1.44652
1.508,1.39918
1.509,1.41174
1.51,1.43622
1.511,1.36794
1.512,1.42366
1.513,1.31513
1.514,1.33445
1.515,1.24782
1.516,1.26327
1.517,1.26972
1.518,1.27036
1.519,1.26102
1.52,1.28485
1.521,1.25297
1.522,1.27519
1.523,1.18341
1.524,1.21014
1.525,1.10805
1.526,1.0797
1.527,1.12061
1.528,1.06167
1.529,1.09999
1.53,1.00209
1.531,1.0198
1.532,0.971817
1.533,1.03623
1.534,1.02109
1.535,1.02979
1.536,1.04589
1.537,1.11062
1.538,1.08743
1.539,1.02109
1.54,1.07069
1.541,1.06553
1.542,1.12125
1.543,1.10547
1.544,1.1235
1.545,1.11706
1.546,1.10482
1.547,1.05619
1.548,1.08454
